"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AGAP010388",0.00512870196537011,-3.32130540857889,0,0.178,1,"C_5","AGAP010388"
"AGAP008061",0.00512870196537011,-3.43375853606682,0,0.178,1,"C_5","AGAP008061"
"AGAP002121.1",0.00512870196537011,-3.51758620397449,0,0.178,1,"C_5","AGAP002121"
"AGAP007115.1",0.00512870196537011,-3.5233576708934,0,0.178,1,"C_5","AGAP007115"
"AGAP001484.1",0.00518624814075493,-2.04987089283645,0.026,0.229,1,"C_5","AGAP001484"
"AGAP008656",0.00525396107332589,0.351859383016035,0.079,0.332,1,"C_5","AGAP008656"
"AGAP013773.2",0.00528386905137159,1.17888199908808,0.132,0.439,1,"C_5","AGAP013773"
"AGAP028643",0.00529861154790184,-1.71787339507147,0.026,0.229,1,"C_5","AGAP028643"
"AGAP006061",0.00529861154790184,-1.72025051911881,0.026,0.229,1,"C_5","AGAP006061"
"AGAP004679.1",0.00531029847796441,-1.10221342829628,0.053,0.28,1,"C_5","AGAP004679"
"AGAP000756.1",0.00531029847796441,-1.29592206711774,0.053,0.28,1,"C_5","AGAP000756"
"AGAP005401.2",0.0053628965073634,-0.954413032271122,0.053,0.28,1,"C_5","AGAP005401"
"AGAP009624.1",0.00541316918011809,-1.89030570251275,0.026,0.229,1,"C_5","AGAP009624"
"AGAP005506",0.00541596453273942,-0.927637800170728,0.053,0.28,1,"C_5","AGAP005506"
